                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.98272,                0.80655,                 1.0446,                0.88146,                 0.8672,                 0.9079,                0.66479,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 0.9947,                0.79171,                 1.0368,                0.87542,                0.90158,                0.92287,                0.68769,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.97366,                0.78254,                 1.0314,                0.98163,                0.88742,                 0.9242,                0.69005,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                  0.968,                0.77595,                 1.0266,                0.94067,                0.87294,                0.90894,                0.67185,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.97803,                0.77897,                 1.0273,                 0.9379,                0.87917,                0.91914,                0.64252,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.95819,                0.76467,                 1.0261,                0.95895,                0.87711,                0.92113,                0.69853,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.95126,                0.76152,                 1.0247,                0.96173,                0.89816,                0.92238,                0.69287,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.94747,                0.75801,                 1.0178,                0.94533,                  0.871,                0.90874,                0.67369,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.95363,                0.75235,                 1.0246,                 0.9595,                0.87508,                0.91861,                0.70061,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.94682,                0.74033,                 1.0182,                 0.8983,                 0.9046,                0.92592,                0.71555,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.92979,                0.73713,                 1.0184,                0.88512,                0.85928,                0.90655,                0.64292,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.93591,                0.74453,                 1.0196,                0.87242,                0.89271,                0.91772,                0.68031,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.93574,                0.73287,                 1.0207,                0.94506,                0.91228,                0.92218,                0.69462,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.92323,                0.72596,                 1.0101,                0.95152,                0.87098,                0.91297,                0.66144,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.91445,                0.72569,                 1.0105,                0.89948,                0.89648,                0.92205,                0.71061,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.91934,                0.71652,                 1.0132,                0.90885,                0.91843,                0.92684,                0.70413,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.90327,                0.69561,                0.99988,                0.89745,                0.88664,                0.92069,                0.71568,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.90966,                 0.7052,                 1.0014,                0.89378,                0.89825,                0.92139,                0.67435,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.90828,                0.70123,                 1.0006,                0.90018,                 0.9103,                 0.9256,                0.70388,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.90134,                0.69232,                 1.0038,                0.89199,                0.91271,                0.92119,                0.69458,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.89737,                0.69108,                0.99959,                0.89687,                0.90851,                0.91862,                0.69256,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
